code,type,name,elevation_ft,continent,iso_country,municipality
FKKR,medium_airport,Garoua International Airport,794,AF,CM,Garoua
FKKU,medium_airport,Bafoussam Airport,4347,AF,CM,Bafoussam
FKKV,medium_airport,Bamenda Airport,4065,AF,CM,Bamenda
FKKY,medium_airport,Yaound̩ Airport,2464,AF,CM,Yaound̩
FKYS,medium_airport,Yaound̩ Nsimalen International Airport,2278,AF,CM,Yaound̩
FLKE,medium_airport,Kasompe Airport,4636,AF,ZM,Chingola
FLLC,medium_airport,Lusaka City Airport,4200,AF,ZM,Lusaka
FLLI,medium_airport,Harry Mwanga Nkumbula International Airport,3302,AF,ZM,Livingstone
FLLS,large_airport,Kenneth Kaunda International Airport,3779,AF,ZM,Lusaka
FLMF,medium_airport,Mfuwe Airport,1853,AF,ZM,Mfuwe
FLMG,medium_airport,Mongu Airport,3488,AF,ZM,Mongu
FLND,medium_airport,Simon Mwansa Kapwepwe International Airport,4167,AF,ZM,Ndola
FLSO,medium_airport,Southdowns Airport,4145,AF,ZM,Kitwe
FMCH,medium_airport,Prince Said Ibrahim International Airport,93,AF,KM,Moroni
FMCI,medium_airport,Moh̩li Bandar Es Eslam Airport,46,AF,KM,
FMCV,medium_airport,Ouani Airport,62,AF,KM,Ouani
FMCZ,medium_airport,Dzaoudzi Pamandzi International Airport,23,AF,YT,Dzaoudzi
FMEE,medium_airport,Roland Garros Airport,66,AF,RE,St Denis
FMEP,medium_airport,Pierrefonds Airport,59,AF,RE,St Pierre
FMMI,large_airport,Ivato Airport,4198,AF,MG,Antananarivo
FMMN,medium_airport,Miandrivazo Airport,203,AF,MG,
FMMS,medium_airport,Sainte Marie Airport,7,AF,MG,
FMMT,medium_airport,Toamasina Airport,22,AF,MG,
FMMV,medium_airport,Morondava Airport,30,AF,MG,
FMNA,medium_airport,Arrachart Airport,374,AF,MG,
FMNC,medium_airport,Mananara Nord Airport,9,AF,MG,Mananara Nord
FMND,medium_airport,Andapa Airport,1552,AF,MG,
FMNH,medium_airport,Antsirabato Airport,20,AF,MG,
FMNL,medium_airport,Analalava Airport,345,AF,MG,
FMNM,medium_airport,Amborovy Airport,87,AF,MG,
FMNN,medium_airport,Fascene Airport,36,AF,MG,Nosy Be
FMNQ,medium_airport,Besalampy Airport,125,AF,MG,
FMNR,medium_airport,Maroantsetra Airport,13,AF,MG,
FMNS,medium_airport,Sambava Airport,20,AF,MG,
FMNV,medium_airport,Vohimarina Airport,19,AF,MG,
FMNW,medium_airport,Ambalabe Airport,92,AF,MG,Antsohihy
FMSD,medium_airport,T̫lanaro Airport,29,AF,MG,T̫lanaro
FMSF,medium_airport,Fianarantsoa Airport,3658,AF,MG,
FMSK,medium_airport,Manakara Airport,33,AF,MG,
FMSM,medium_airport,Mananjary Airport,20,AF,MG,
FMSR,medium_airport,Morombe Airport,16,AF,MG,
FMST,medium_airport,Toliara Airport,29,AF,MG,
FNBC,medium_airport,Mbanza Congo Airport,1860,AF,AO,Mbanza Congo
FNBG,medium_airport,Benguela Airport,118,AF,AO,Benguela
FNCA,medium_airport,Cabinda Airport,66,AF,AO,Cabinda
FNCT,medium_airport,Catumbela Airport,23,AF,AO,Catumbela
FNDU,medium_airport,Dundo Airport,2451,AF,AO,Chitato
FNGI,medium_airport,Ngjiva Pereira Airport,3566,AF,AO,Ngiva
FNHU,medium_airport,Nova Lisboa Airport,5587,AF,AO,Huambo
FNKU,medium_airport,Kuito Airport,5618,AF,AO,Kuito
FNLU,large_airport,Quatro de Fevereiro Airport,243,AF,AO,Luanda
FNMA,medium_airport,Malanje Airport,3868,AF,AO,Malanje
FNME,medium_airport,Menongue Airport,4469,AF,AO,Menongue
FNMO,medium_airport,Namibe Airport,210,AF,AO,Namibe
FNNG,medium_airport,Negage Airport,4105,AF,AO,Negage
FNPA,medium_airport,Porto Amboim Airport,16,AF,AO,Port Amboim
FNSA,medium_airport,Saurimo Airport,3584,AF,AO,Saurimo
FNSO,medium_airport,Soyo Airport,15,AF,AO,Soyo
FNSU,medium_airport,Sumbe Airport,36,AF,AO,Sumbe
FNUB,medium_airport,Lubango Airport,5778,AF,AO,Lubango
FNUE,medium_airport,Luena Airport,4360,AF,AO,Luena
FNUG,medium_airport,Uige Airport,2720,AF,AO,Uige
FNXA,medium_airport,Xangongo Airport,3635,AF,AO,Xangongo
FOGK,medium_airport,Koulamoutou Mabimbi Airport,1070,AF,GA,Koulamoutou
FOGM,medium_airport,Mouilla Ville Airport,295,AF,GA,Mouila
FOGO,medium_airport,Oyem Airport,2158,AF,GA,Oyem
FOGQ,medium_airport,Okondja Airport,1325,AF,GA,Okondja
FOGR,medium_airport,Lambarene Airport,82,AF,GA,Lambarene
FOOB,medium_airport,Bitam Airport,1969,AF,GA,Bitam
